surface_form	n_tokens	total_count	doc_count	zipf	replacement	context
bartic	1	6	6	0	bardic	of the D and E B Which actually I really like rather than giving people Bartic inspiration in advance you can use it as a reaction when somebody fails them All
barnick	1	3	3	0	bardic	a 25 get a decent amount above a 25 you get absolute mess We should Barnick inspire somebody and guidance to people so I will guidance cause you can't or you
vishma	1	4	3	0	bhishma	basically kind of doing a pictographic journey In very much in the style of honoring Vishma and the storytelling there of not only our journey but also the journey of the
shamut	1	38	17	0	cha'mutte	I hope some of your stories have places that are not the shadow realm of shamut or the forest of nightmares and I have only been to places that we should
shamat	1	48	16	0	cha'mutte	say most of their people or slaves for many years far in the north to Shamat but the Kanku of what we had to send from a different branch a different
schmutz	1	10	8	1.59	cha'mutte	pale And kind of points to the symbol and says This looks like one of schmutz symbols Really What makes you say that I fought in the great wars Remember Reminiscent
shema	1	10	8	2.03	cha'mutte	Help That all those who are delis will say Since I joined The battle against Shema 300 years ago I've always been I've always hated Those who oppose The forces of
shemat	1	10	7	0	cha'mutte	long thinkless task of maintaining this prison for whatever evil was great enough that even Shemat felt the need to walk it away That's from rise perspective Right Yeah Fucking bitch
shemut	1	6	3	0	cha'mutte	she refused to join Shamut's army and was trapped in the mirror attempted to trap Shemut in the mirror and he was like haha no Right And trapped her in the
shamutt	1	3	3	0	cha'mutte	We'll escape That's that's fine right it it Look this is not as bad as shamutt dimensions that I've now been into twice nice sided lack of armies here is very
shamut's	1	11	8	0	cha'mutte's	of these Maswati One of these trapped gods was to We actually fought one of Shamut's trapped armies at least a small part of it Not not an army How Goblin
shamat's	1	10	8	0	cha'mutte's	The Missouri they're called I've forgotten Gods of the All trapped in shadow around Stuff Shamat's creation same as me that's the gift I bring you Seeker If you want an
shamutt's	1	3	3	0	cha'mutte's	and touched one of these arm bands it somehow activated and transported said person to Shamutt's travel rounds and they were trapped there until the arm band that they had touched
shemat's	1	3	3	0	cha'mutte's	they've been sitting for 200 years like Are they I mean are they wearing like Shemat's colors or the armor of the Great War or like Do we have Scouts reports
chelite	1	140	9	0	chalyte	the screams of terror that occasionally rend the air and the sour acrid stench of Chelite and death in Drankor itself doors of the at the doors of the great temple
chalite	1	69	9	0	chalyte	and manganese 47 of them are things that you mostly don't recognize some Mithril some Chalite And then there's a bunch that are labeled like weird things like vulcanite ethereum kupralith
chelate	1	54	9	1.9	chalyte	a creature you can see So that minions fail Fausto succeeds It doesn't get the chelate knight correct It does not get the chain light I mean it's presented In fact
cheli	1	18	7	1.05	chalyte	have you know Toker get raised that we're doing We're gonna let the chart the Cheli trade continue on indefinitely continuing to harm tens of thousands of innocent people We're just
chelike	1	21	6	0	chalyte	are though But meaning rules are in effect not so much for Fausto and the chelike knight All right all right There look like there's 8 of them you keep saying
cheleh	1	10	5	0	chalyte	enough to me Wait So the Emperor is trying to take back control over the Cheleh trade Now that they're trying to stomp out the So that's all above my pay
chlight	1	9	4	0	chalyte	the tattoo is going to be You know how like uh Kansas got like a chlight scar on his forearm It's gonna be a snake wrapping around his forearm like around
charton	1	16	15	1.2	chardon	changed or that there's a different perspective is that I should be thinking about but charton wasn't exactly the best place to grow up I'd say I pointedly look to villa
chartin	1	46	14	0	chardon	hate us Well the also the mages that are part of this party are from Chartin that are like the you know Yeah I mean that Jacob make up persuasion check
chardonnian	1	23	9	0	chardonian	but I don't know Correct me if I'm wrong I don't think the the like Chardonnian religion would really resonate with Now yeah Tried and left charge because he was like
tardonian	1	17	9	0	chardonian	languages that I know i'll try and let the others I know I know celestial Tardonian common draconic Grand Korean and then Mari I'll try to con it for he kind
ardonian	1	4	3	0	chardonian	So So so the little less useful than I thought for You know totally undermining Ardonian society So I I fear what you're gonna achieve is is not what you hope
tardonians	1	11	3	0	chardonians	you want to ask I seriously do want to ask a sequence of will The Tardonians help garage Will the journey and steal from garage in terms of with respect to
sintra	1	58	7	2.05	cintra	with sure coons essence in them The supreme Oracle in this generation our name is Sintra Two and a half years ago She had a daughter A child late in life
sentra	1	21	5	2.2	cintra	or not I would ask you if you would travel south and tried to find sentra And chickens heart Can I just review for a second So Sintra is the supreme
cloud spinner's	2	13	5	1.52	cloudspinner's	the cloak Didn't know that I have been found A gate is from the Cloud spinner's domain and you say she is gone dead captured imprisoned She has been imprisoned by
cloud spinner					cloudspinner	
consave	1	9	6	0	con save	escape it Yeah You could just slow roast it It's a con save but it's consave can't be It can be good But the DC Is pretty good even if it
G 20	2				d20	
darbar	1	30	9	1.88	darba	there are a lot I would pass through come up the sale up from from Darbar through the canal crossover spend a month in charleston selling everything before Heading East again
daweth	1	33	19	0	delwath	to Eric There's a I was just guys So as we return to Ralgar's palace Daweth was about to speak I believe Yeah So yeah I lost my thread a little
dalwith	1	30	19	0	delwath	elemental plane of air and his vision zooms through the portal and you can see Dalwith putting his sword away standing floating not really standing on a cloud talking to a
deleth	1	27	18	0	delwath	and we know people who work in libraries out We probably are But I mean Deleth read that book a fair bit I bet you he remembers it It's just the
delwith	1	28	13	0	delwath	gonna well yeah okay well I'll be easily dodges away okay deal with Mike What's Delwith doing Okay I'm I'm gonna give up on the sickening radiance Yeah I'm going to
delis	1	16	12	2.11	delwath	need us You just state Clearly That will say Help That all those who are delis will say Since I joined The battle against Shema 300 years ago I've always been
dawith	1	19	10	0	delwath	plenty 54 points of damage Yikes And then it's going to turn and look at Dawith This is still the how many how many how many turns this guy up This
darwyth	1	15	10	0	delwath	next I'd like to get closer to seeker but I also don't want to While Darwyth is considering where to run As the sickening radiance appears Welby looks up at this
dalith	1	14	10	0	delwath	go up the pillar Sure 13 So seeker you as you So let's see So Dalith and Dalith and Seek are kind of you know Looking around kind of examining these
delith	1	16	9	0	delwath	you Have you next stop at seeker Kenzieker Welby Grosch will go again and then Delith will go Could I go for incapacitated or restrain He can teleport I would go
darwest	1	11	8	0	delwath	misses All right Is there anything else seekers should do Not really I guess So darwest and Riswyn Okay So I mean this guy he can't have more than you can't
delworth	1	10	8	0	delwath	to cast a spell and then speaks and you can immediately understand everything she says Delworth recognizes the spell as tongues she says greetings hunters and guides she says sort of
daleth	1	9	8	0	delwath	large tree What order are you going in There's like a big archway that leads Daleth will go first st Okay I mean you know expecting trouble Yeah That way Take
dawa's	1	12	8	0	delwath's	Darwyth pummels him to the ground that ends So Bizarro Kenza has done that ends Dawa's turn seeker is up Is it worth Well never mind I don't think I'm gonna
drankar	1	10	6	0	drankor	This is where the last jade lies inside this cave sitting above the jungles of Drankar on the desert on the edge of the desert plateau not so far south of
donmar	1	104	39	2.01	dunmar	I mean the gods don't really have enemies Exactly I mean the enemies of the Donmar he I guess From this point You know the point of time that's for it
dunmurry	1	25	17	1.45	dunmari	ship up the chart and See what we can get there for some of the dunmurry stuff we collect Hopefully with full persons and empty wagons Trade the full personas for
torben	1	33	18	2.03	dwarven	made of stone like very finely polished granite but this lake and it has in Torben ruins the title is the ruins of creation sort of carved in elaborate inlaid letters
hiswin	1				riswynn	
dwarfish	1	27	14	1.57	dwarvish	Hiswin whatever you would have happened to have been doing you know in your normal dwarfish life I feel a wrenching twist and then a sudden feeling of movement as the
elvin	1	22	14	2.5	elven	unclear if time passed he doesn't really know right like did he ate I mean elvin aging is so they don't lie don't eat don't get physically frail until they're very
elfin	1	11	8	2.26	elven	that you pulled out like we've been trading favorite recipes but from back home Welcome elfin an elfin heflin food is like not not the food that we make in elfin
faldrick	1	96	23	0	faldrak	Do I have a have a bunch of spell slots Clairvoyance is a good idea Faldrick Do you have a way of looking at those things up close I mean aside
feldrick	1	16	8	0	faldrak	doing investigative The rest of the time has been spent raping around the skyship with Feldrick and taught planning for the opening of our ship's inaugural artist in residence program Perhaps
baldrick	1	15	8	1.97	faldrak	sorry 3 No that one can get into range are gonna make an attack on baldrick attempting to push him underwater Got misses Wait He's not in the water No he
fadrick	1	16	5	0	faldrak	tend to clean up and everything So I'd like to I'd like to role play fadrick showing up and then but maybe if we want to take a short break we
fasto	1	37	18	0	fausto	stuff and but but the likelihood of that garage that boss is a polyon versus fasto Much more likely that that boss is a poly on right Yes right I'm looking
festo	1	21	14	1.75	fausto	food chain We have to meet faster before We make any decisions when we meet festo one of three things gonna happen right it could be like Aha you have walked
fausta	1	15	10	1.65	fausto	items to give to people we should do something with the mace we stole from Fausta Oh we should put that in the mirror Oh that's a good idea What was
glimness	1	10	3	0	glibness	So you should go ahead make a I guess this is intimidation But you have glimness right So I have goodness so I can't roll less than 15 Right But I
noles	1	51	15	1.9	gnolls	The tracks the track the tracks of Creatures that you're following Can we differentiate the noles in the malls Yes But they're quite they're traveling together Yeah Four legs two legs
govier	1	10	7	1.25	govir	see that they had any way of defeating Shakun's match based on the letter from Govier about the cloak fear They know if your garage has found the cloak and knows
grosch	1	40	9	1.29	grash	asked like an augury type question about like the relationship between Fasto and Fausto and Grosch are both working for a poly on I even either table in the session Yeah
grush	1	14	8	0	grash	The sensor moves with the target I I like it which is when we spread grush It's not like we couldn't look 360 degrees right I think I think if you
groch	1	10	4	0	grash	you with wounds that do not heal And then the memory of Motula We fought groch in the land of the dead the chains that bound Motua a curse that weakened
gosh's	1	12	7	0	grash's	a distance Is Garage dreaming Garage two you reach out searching for for grocer's soul Gosh's essence and you find you find only darkness he finds So the more you the
heflin	1	19	12	2.11	halfling	can see just sort of as you approach there is you know five or six Heflin kind of sitting around the fire Looks like they're cooking themselves dinner One of them's
allgar	1	16	8	0	hralgar	action should be to go East and I think both once once we've restored for Allgar both because it is the chance Squash is on the move soon We do not
algar	1	8	7	1.77	hralgar	portal in I'm raising That we sold them It's totally it's Not going away 2020 Algar However the mindful or army might be fake news because Davis made that so That's
raulgar	1	15	5	0	hralgar	easily So I have to say where i'm sending it though i'm trying to see Raulgar So where should I try to put it like right directly in the middle of
allgar's	1	3	3	0	hralgar's	that's a good yeah Well the eyes vulgar's eyes Didn't we already look at for Allgar's eyes Nope no I guess we didn't We could Yeah or learning about drank that
loria	1	23	9	2.05	illoria	West of have done more like off the coast there's this large island called the loria and then a chain of smaller islands in In the sort of oh yeah let's
cadmos	1	49	17	0	kadmos	was I will say I saw Cassian once on October the 20 fifth sitting with Cadmos on the deck of a ship going through the canal I think going while watching
cadmus	1	126	16	2.42	kadmos	As Kathy and speaks asking if they were seller barter anything on training Korean origin cadmus is only half of paint paying attention as the hassling insists on using his tricks
cadmus's	1	8	5	0	kadmos'	So I mean yeah the fundamental sounds like a pretty good thing to put in Cadmus's face So just met a gaming for a second Tim you know it's pretty clear
carola	1	40	23	2.14	karawa	the old artifacts and stuff have been have been found this fire this close to carola But you don't really get a sense That there's anything particularly unusual within your radius
terawatt	1	9	8	1.61	karawa	the desert Unable to find a way forward unable to make their way past Into terawatt into The heart of Dunbar But now For reasons I do not understand Chicago and
carnos	1	27	9	0	karnas	washed it Carry into the inn for some time and It seems to be a Carnos establishment but the sense I got of the city is is divided into Grams Yes
carnas	1	9	3	0	karnas	We should settle with whatever we have to do We should make peace with me Carnas and ride against Chardon They are threatening us with magic Conversation goes on How far
carnes	1	4	3	2.33	karnas	the the lock in monks Yeah I mean if we figure out from scrying what Carnes is doing I could send in Johar and at least explain to him why he's
spellcasting	1	8	8	1.73	KEEP	So it's probably reasonably strong So mine it says make an ability check with your spellcasting ability contested by the street creature Strength check though I would try it Right Yeah
ketcha	1	11	5	0	kecha	I haven't decided yet has he Or she said a name that I've already ran ketcha ketchup I will probably think of something to ask discount but probably not at 1230
scry	1	158	36	1.6	KEEP	haunted him and haunted his dreams and I was able to I was able to scry him saw him far to the east somewhere and this place called Ersk and he
scrying	1	126	33	1.88	KEEP	anything else I saw a piece of jade you did I saw one in a scrying far to the East in some cold northern land Hmm A man named Radlemere You
skyship	1	65	32	1.13	KEEP	and approaches a dry spot in the shelter of the of the ruined crashed grounded skyship and hands off the antelope to daweth to begin cooking some a late dinner as
bardic	1	111	27	2.05	KEEP	my left there is that deal with Our best our Um I will Use a bardic inspiration slot And I I we've again a glowing figure in the air with my
reroll	1	74	26	1.72	KEEP	energy lashes out at Or she can I can I do the inspiration thing and reroll it Is that better Now you don't if You don't make It this this energy
polymorph	1	67	21	1.98	KEEP	one concentration effect at a time right So if i'm going to use it on polymorph him into a into a pretty chair Then I can't also make somebody invisible What
attune	1	51	21	1.97	KEEP	the bar this underground passage Agree Okay Take a rest Is that anybody want to attune to them Her all while you're resting In a meta game view Does it seem
elvish	1	63	19	2.43	KEEP	binding that he was under What's element for lost thunder I don't remember that An elvish poem that that yeah is that a ritual It was in the book that we
metagame	1	39	17	1.65	KEEP	of fiend obsessed with the Franklin water you know little outs of him Hmm I Metagame That's we killed it that right That's wasn't that the big crazy huge thing that
illusionary	1	21	15	2	KEEP	this side it looks like a caveman as well And There is here also an illusionary lever in the wall Which is pointing down With there's a weather in the wall
chardonians	1	24	14	0	KEEP	where the ghosts of the past haunted the plate The Chardonian prospectors There were no Chardonians This far North just sounds like an interesting place to dig for artifacts It interesting
auras	1	20	14	2.37	KEEP	Well let me if I take a few minutes My my sense of the magical auras will stay with me for some time It may be useful down here Yeah okay
runic	1	18	14	2.39	KEEP	Yeah we'll be down Well what can you do anything Oh I've got a uh runic shield one another creature You can see within sixty feet of you is hit by
counterspell	1	75	13	1.16	KEEP	counter spells your counter spell and then she vanishes Wow Guess what I prepared Another counterspell the invisibility You're gonna cast it They last an hour No concentration And so now
spellcaster	1	23	13	1.8	KEEP	this one here So i'm gonna my movement in the direction that I remember the Spellcaster being in okay to three four five Is that right Yeah Okay And then I
icicle	1	27	12	2.43	KEEP	it's like I can I can recognize like stories of stuff that's happened before yeah icicle or you know what I mean like that stuff I can be like Oh I
spearpoint	1	23	12	1.15	KEEP	going okay There's a small silver statue about the size of a hand of a spearpoint decorated with an Etch flame design and the tip of it is burning with fire
scryed	1	18	12	0	KEEP	rumors hoved our beliefs He is you haven't scried on Carn awesome but I've never scryed kind of else I could try it That would be very good to do I
wyvern	1	65	11	2.31	KEEP	dragon should not have two legs The dragon has two legs it's either like a wyvern or Drake or like some other cousin of dragon or it's a younger dragon On
wellby's	1	14	11	0	KEEP	the mountain slope as deal with well-being seeker are pulled away from you You hear Wellby's voice in your mind just for a moment Find your way to the fay Well
snarls	1	13	11	2.36	KEEP	That hits Though 14 damage pretty nice So as your arrow strikes at it it snarls there's like blood coming out It's a pretty solid hit and it just basically completely
gpt	1	18	9	2.39	KEEP	time to go to bed But before we go to bed okay what did Chat Gpt write And what did I write of that session chat Gbt wrote the nymph you
shatterstorm	1	15	9	0	KEEP	I would say um if you're if you're gonna If you're gonna hit it with shatterstorm you can roll with advantage because chatter storm Lake lifts You destroy things easily but
cantrip	1	13	9	1.18	KEEP	look at you Well I mean if I could Yes I could cast the mending cantrip with a sort of stone inclination Given that i'm worse Let me know I have
warded	1	10	9	2.24	KEEP	and secret to make wisdom saving for us So I have the ring of the warded mind What does that do Exactly we get enough you're immune to magic that allows
spellcasters	1	25	8	1.59	KEEP	know anything other than they can be killed It's or it's fuss on dad Some spellcasters from Bright Garden You don't know the exact size it was maybe a few 1
grasps	1	11	8	2.43	KEEP	power and he closes his eyes and mutters over it for a second And then grasps it in his fists and goes over to Sintra I can make no guarantees but
interplanar	1	8	8	1.14	KEEP	it awesome I feel like we need like an another like something to show the Interplanar Oh yeah totally yes or a globe Do we establish a globe since globe And
pluses	1	8	8	2.45	KEEP	it's not particularly nice but it's not particularly evil It is essentially magically sharp No pluses to hit or damage just you do an extra seven damage on a crap The
metamagic	1	14	7	0	KEEP	run 1 2 1 2 3 4 5 The scatter have verbal components I have metamagic Oh right Subtle spell So no it does not have verbal Conans because that's why
upcast	1	10	7	1.46	KEEP	make a diagonal line that goes from the apple to either one Yeah i'm gonna upcast lightning I mean you can't do it from where you are You've got to move
crits	1	9	7	1.81	KEEP	Okay And you roll all of our roles today Sure Yeah Don't Mike's wrong 2 crits in the past 10 min though that is so I need to add 2D 8
draconic	1	8	7	1.74	KEEP	I know i'll try and let the others I know I know celestial Tardonian common draconic Grand Korean and then Mari I'll try to con it for he kind of shakes
them's	1	8	7	2.27	KEEP	Heflin kind of sitting around the fire Looks like they're cooking themselves dinner One of them's Taken out Lou type instrument and is like playing kind of a jazzy upbeat tune
phylactery	1	47	6	1.34	KEEP	this plane I think we are presuming it's accessible from Drankor somewhere But then the phylactery is somewhere else I mean the flak tree is incidental except for the fact that
magistros	1	12	6	0	KEEP	the morning you hear the news that from Sarah that she has received word that magistros Midas the the ruler of Chardon at the head of the Chardonian navy has won
attuning	1	10	6	1.4	KEEP	as well and and you get the sense that um You know by sort of attuning to to his consciousness and kind of going into meditation with him You've you've probably
pummel	1	9	6	2.33	KEEP	he just didn't beat it up Just beat it up so that's it's a letter pummel latter pummel And what's it's 10 plus three Oh thanks All Right and will attack
satyr	1	17	5	2.47	KEEP	sucks It's never gonna have me literally never Finally the sniffy picture finishes on the satyr and palace Your sword begins to glow red hot Oh so And it starts kind
darkvision	1	14	5	0	KEEP	really practiced in it showing her like kind of what happens when I do The darkvision kind of just give her a flavor of just how awesome it looks like so
ladder's	1	13	5	1.17	KEEP	cannot maintain it Can we even wait Wait Can the ladder open it The latter's Ladder's buff Yeah the ladder can Ladder Open the coffin please Latter has a strength of
demiplane	1	12	5	0	KEEP	in some extra dimensional prison so she was doubly warded right She was in some demiplane guarded by a devil of some sort and on top of that the demiplane was
clunk	1	9	5	2.23	KEEP	open for mine area and you as you walk in this direction You hear this clunk clunk clunk stop pause for a few seconds and then back and as you begin
glibness	1	9	5	1.51	KEEP	from Inside is a pinch of fine powder multi-hued and mesmerizing This is dust of glibness When you sprinkle this on yourself for the next hour Anytime you make a charisma
cantrips	1	6	5	1.12	KEEP	doesn't But II can to My Kenzel will will like kinda you know throw some cantrips in there and like kinda you know he'll he'll he'll like plant his staff in
wispy	1	5	5	2.42	KEEP	and golf said it crashes to the ground and just like a little sort of wispy looking flame is sitting over top I say I guess that's side you you can
ogres	1	43	4	2.49	KEEP	and well be sort of circling ahead you see i'll say telepathically to everyone or ogres in the canyon ahead See this time i'm not just trotting over to say hello
greatsword	1	24	4	1.46	KEEP	give up the watches Dagger We are right I think so What about the Frostbrand Greatsword red capturous is hard Wow So I'll take out What's up Let's I think start
unroll	1	12	4	2.26	KEEP	nice all right I am pull out the scroll reverently Is it safe to even unroll it Probably I just can't read it right because that would activate it whoops no
unattuned	1	10	4	0	KEEP	do you Wanna it does require attunement So you'd have to trade up from your unattuned bell Yeah I'll drop something Okay I mean Post rate in Or not potion of
hallucinary	1	9	4	0	KEEP	it but if you weave it here it's still under the It's still under the hallucinary train cause that's better You're saying it's probably better than a ship just flying in
loremaster	1	9	4	1.15	KEEP	to the worship after having spoken with Chief Lubash and his advisors General Maru and Loremaster Azogar as he left that the chief attend having other business to intend to invited
1d10	1	7	4	0.34	KEEP	less damage Until it's passed through all of them and the last section only takes 1d10 damage So really it would only kill maybe a third of them And then they'd
2d12	1	7	4	0	KEEP	the summer when the marshes dry out Yeah so so I mean off-target is only 2D12 miles away which is perfectly good And similar areas Fine Yeah okay Because actually it's
wyverns	1	7	4	1.91	KEEP	creatures are scary giant monsters and somebody riding on them Correct Hmm They're like shadow Wyverns Yeah do we know I guess Kenza hasn't sold so we don't really have any
23rd	1	5	4	2.25	KEEP	we Go to schedule let's get that scheduled so we had we had said the 23rd does that still work for everybody Sir it's a Friday Yes looks kids That should
10x	1	4	4	2.15	KEEP	like Probably do more because he's got more money now right Yeah well he's gonna 10x that irrespective of the profits that come out of this whole refinery process So he
90s	1	4	4	2.48	KEEP	exactly like whoa The other as an older hassling man easily in his 80s or 90s with a wrinkled face stain traveling clothes blue eyes and curly Gray hair A young
accreted	1	4	4	1.9	KEEP	knocking like bit of mud and sort of other other stuff that's sort of just accreted on the ship over time and it just kind of digging knocking it off and
rend	1	10	3	2.43	KEEP	morning hour the streets are empty The only sound the screams of terror that occasionally rend the air and the sour acrid stench of Chelite and death in Drankor itself doors
tentacled	1	8	3	1.87	KEEP	would not be you It would be some something else that had devoured your mind tentacled horrors like humans but but not no it's just tentacles He said he saw one
2d6	1	7	3	1.69	KEEP	which does 2d12 damage so everything within 60 foot radius of the sphere Sphere takes 2D6 radiant 12D6 radiant damage 12D6 How long is this thing Zoe That's instant The sunburst
tilly's	1	6	3	1.89	KEEP	pipe but your pipe broke Well the sword is the important one Did you get Tilly's arcane focus by any chance What's all our speakers though Do we get that Yeah
22nd	1	5	3	2.26	KEEP	for next week 20th yeah A week after next The 20th them good for the 22nd I cannot do And I cannot do the 22nd either so So Eric had a
stalagmite	1	5	3	1.79	KEEP	all breathe a sigh of relief having moments ago defeated a rope or many tentacles stalagmite creature With a vicious fight Now looking around the mangled remains of this Beast crashing
windcaller	1	5	3	0	KEEP	on the evening tide a couple days later that you set sail with Hiberius the windcaller and and you and 2 people who Midas has sent to travel with you although
wisps	1	5	3	2.44	KEEP	me This has never come up It says as a bonus action you can cause wisps the fatter to gather around the Armor yeah these are not denser dark enough to
acrobatically	1	4	3	1.41	KEEP	plan is to featherfall correct Mcconza is gonna fold up the boat and unfold it acrobatically Should I roll Should I roll acrobatics Tim Hold on one moment okay so you
attunes	1	4	3	1.06	KEEP	it I think that's not an unreasonable What's the worst thing that happens if somebody attunes to the scepter I mean I've been waiting for over a year for you to
slimes	1	4	3	2.25	KEEP	for man so i'd have to put it like Here for it to hit both slimes but not us Ah yeah something like that um let's see I should have are
tanshi	1	4	3	0	KEEP	a little time describing the like dimension he was trapped in Was that was a tanshi of the denoquay They called themselves Yavoi but I at the time do it not
unchain	1	4	3	1.83	KEEP	half of the vision I mean calmer Here is a relative term though Did we unchain him last time No we didn't And now it did I i'm not a chair
2d10	1	3	3	0	KEEP	don't know the hippopotamus is pretty strong Yay Multi-attack 2 bite attacks each one does 2d10 plus 5 damage with a plus 7 to hit Yeah They have like 80 hit
acrid	1	3	3	2.37	KEEP	a low fog that hangs on the slopes of Mount there and carries a faint acrid stench over the water when the winds briefly shift The two sides of the city
ant's	1	3	3	2.04	KEEP	stay cast The problem is that Detect Thoughts only has a 1 minute duration An ant's gonna struggle to cross any reasonable distance in one minute Wow I need to be
simulacrums	1	3	3	0	KEEP	just create a whole bunch of them And then you all can like Totally Culinary simulacrums With that Okay so what's Rizm doing Oh I'm moving where Noah told me to
spews	1	3	3	2.45	KEEP	it kind of slashes out itself and this black spurting like black shadow just like spews out of it in a fifteen-foot cubes So one two three so getting everybody but
stealthiest	1	3	3	1.09	KEEP	idea I Am little hope that I can be stealthy now is try Stuff here stealthiest of us all Back disadvantage Disadvantage on style Okay Well I guess I'm holding a
suicidally	1	3	3	1.64	KEEP	sell at night Ah Early not a ton Could we like Yes do you something suicidally stupid and go to the creepy temple in the middle of the night and then
sunbursts	1	3	3	1.35	KEEP	I know it'll make me more visible to them But if I can possibly place sunbursts with some amount of you know skill instead of just shooting into the clouds instant
sura's	1	3	3	0	KEEP	has been turned into a audience chamber thrown room that troops don't seem I mean Sura's camp very much Had this feel of like you know everybody in Sera's camp is
timing's	1	3	3	1.51	KEEP	want to stop in like a few minutes But I also don't wanna like the timing's not great Can you hold on for like 5 min Schwartz Sure for sure for
tsunami's	1	3	3	1.39	KEEP	That just burn people that do like quite a bit of damage Ehhh We could Tsunami's a good one Those are like the best 3 Sunbursts I mean that's 4 right
uncharm	1	3	3	0	KEEP	You guys go ahead I'll a how do we Oh wait I will I can Uncharm him No I don't I don't need that I I just need to focus It's
unequipped	1	3	3	1.85	KEEP	because normally you'd have advantage but you don't get advantage john I see okay I unequipped the goggles so I think that was what was turning on the advantage Yes that
ungrapple	1	3	3	0	KEEP	can try but it's a strength check or acro You can make acrobatics actually to ungrapple yourself I will do that as I have a plus n acrobatics Okay 22 Kenzo
unwary	1	3	3	2.33	KEEP	from a goddess person can they be saved And what dangers are traps prepared for unwary guests may still lurk in her lair now days after her death So as You
vibing	1	3	3	2.11	KEEP	know black style except you know elegant So yeah so KI mean Kenza is definitely vibing talking yeah doing a little dancing but then Kenza's also like like throughout the night
vola's	1	3	3	0	KEEP	that's why he's rolling d 100 to see if he kills anybody we know like Vola's probably 5 and Hector's 15 I'm pretty sure he'll mention it if we kill somebody
wanes	1	3	3	2.34	KEEP	the gods Power of the gods in our land it's not constant And waxes and wanes with prayers and people and maybe these tides you speak of And maybe the separation
wolfing	1	3	3	1.82	KEEP	not surprising given the environment um he's like drinking a beer and like you know wolfing down Well let's do with bread ghee is a young hassling woman short even for
woodswalkers	1	3	3	0	KEEP	to stay cooped up in a village right Like you're used to the messi the woodswalkers of Breva don't sleep in the winter That's when it's dark and the goblins are
